Time,P,windspeed,wind direct,air temp,humidity,irrad global horizontal,irrad plant of array,pressure,rain fall,temp 1,temp 2,temp 3,wind direction,wind speed,year,month,day,hour,week,weekday,day_str,year_month
2023-06-11 12:00:00,0.0,3.82,78.8,33.35,70.51666666666667,900.5833333333334,906.6666666666666,999.75,0.0,54.90833333333333,53.208333333333336,-40.0,284.0,0.8791666666666665,2023,6,11,12,23,7,Sun,2023_06
2023-06-11 13:00:00,0.0,3.82,78.8,33.175000000000004,72.25833333333334,738.9166666666666,754.9166666666666,999.0,0.0,51.1,50.76666666666667,-40.0,266.3333333333333,1.1291666666666669,2023,6,11,13,23,7,Sun,2023_06
2023-06-11 14:00:00,0.0,3.82,78.8,32.2,74.56666666666666,572.9166666666666,595.0833333333334,998.9166666666666,0.0,46.425,47.35,-40.0,277.1666666666667,1.45,2023,6,11,14,23,7,Sun,2023_06
2023-06-12 08:00:00,0.0,0.83875,146.41666666666666,31.05,81.30833333333334,648.0833333333334,608.6666666666666,1001.0,0.0,49.04166666666666,47.833333333333336,-40.0,79.03333333333333,1.3833333333333335,2023,6,12,8,24,1,Mon,2023_06
2023-06-12 15:00:00,0.0,4.2124999999999995,193.25,32.40833333333333,73.31666666666666,506.5,557.8333333333334,998.9166666666666,0.0,46.85833333333333,46.51666666666667,-40.0,74.21666666666667,2.3000000000000003,2023,6,12,15,24,1,Mon,2023_06
2023-06-12 17:00:00,108.39999999999999,5.486666666666667,201.91666666666666,30.816666666666663,80.7,50.775,50.96666666666667,999.0,0.0,31.516666666666666,31.291666666666668,-40.0,84.24166666666666,1.9791666666666667,2023,6,12,17,24,1,Mon,2023_06
2023-06-12 18:00:00,92.36666666666667,5.235833333333333,199.91666666666666,30.375,82.76666666666667,3.516666666666667,3.466666666666667,999.5833333333334,0.0,28.96666666666667,28.83333333333333,-40.0,86.80833333333334,1.7458333333333331,2023,6,12,18,24,1,Mon,2023_06
2023-06-12 19:00:00,44.050000000000004,4.218333333333333,206.5,30.21666666666667,84.24166666666666,0.0,0.0,1000.8333333333334,0.0,28.308333333333334,28.08333333333333,-40.0,96.21666666666664,0.9333333333333332,2023,6,12,19,24,1,Mon,2023_06
2023-06-13 00:00:00,91.05,5.194166666666667,219.41666666666666,29.7,87.01666666666667,0.0,0.0,1000.4166666666666,0.0,27.78333333333333,27.60833333333333,-40.0,100.85,0.6208333333333333,2023,6,13,0,24,2,Tue,2023_06
2023-06-13 01:00:00,99.51666666666667,5.370833333333334,217.83333333333334,29.73333333333333,87.98333333333333,0.0,0.0,1000.0,0.0,27.825,27.641666666666666,-40.0,94.16666666666669,0.6,2023,6,13,1,24,2,Tue,2023_06
2023-06-13 02:00:00,109.60000000000001,5.609166666666667,225.58333333333334,29.73333333333333,87.95,0.0,0.0,999.0833333333334,0.0,27.90833333333333,27.758333333333336,-40.0,127.38333333333333,0.6875,2023,6,13,2,24,2,Tue,2023_06
2023-06-13 03:00:00,109.10000000000001,5.6625000000000005,234.16666666666666,29.825,87.13333333333333,0.0,0.0,999.0,0.0,28.03333333333333,27.775,-40.0,126.25,0.7666666666666666,2023,6,13,3,24,2,Tue,2023_06
