step,wall_time,train_explained_variance,relative_seconds,relative_time
2124000,1749956673.9081209,0.0030242204666137695,3061.7720096111298,0:51:01.772010
2136000,1749956690.9331448,0.0031104683876037598,3078.797033548355,0:51:18.797034
2148000,1749956707.9278255,0.004938840866088867,3095.7917141914368,0:51:35.791714
2160000,1749956724.7346563,-4.2438507080078125e-05,3112.598545074463,0:51:52.598545
2172000,1749956741.3277264,0.003862440586090088,3129.1916151046753,0:52:09.191615
2184000,1749956758.1389408,0.00036454200744628906,3146.002829551697,0:52:26.002830
2196000,1749956776.9940891,0.004369616508483887,3164.8579778671265,0:52:44.857978
2208000,1749956794.281566,0.0030916929244995117,3182.145454645157,0:53:02.145455
2220000,1749956810.9925578,0.0039070844650268555,3198.856446504593,0:53:18.856447
2232000,1749956827.922473,0.0031499862670898438,3215.786361694336,0:53:35.786362
2244000,1749956845.020687,0.004092752933502197,3232.884575843811,0:53:52.884576
2256000,1749956862.8002772,0.0017524957656860352,3250.6641659736633,0:54:10.664166
2268000,1749956880.6718836,0.004756271839141846,3268.5357723236084,0:54:28.535772
2280000,1749956897.943189,0.002233266830444336,3285.8070776462555,0:54:45.807078
2292000,1749956915.223508,0.005559802055358887,3303.087396621704,0:55:03.087397
2304000,1749956932.215128,0.0005150437355041504,3320.079016685486,0:55:20.079017
2316000,1749956949.120513,-7.605552673339844e-05,3336.984401702881,0:55:36.984402
2328000,1749956966.4797776,0.0021579861640930176,3354.3436663150787,0:55:54.343666
2340000,1749956984.37652,0.0008865594863891602,3372.2404086589813,0:56:12.240409
2352000,1749957001.1739686,0.005294144153594971,3389.0378572940826,0:56:29.037857
2364000,1749957017.7931368,0.0026810169219970703,3405.657025575638,0:56:45.657026
2376000,1749957034.4571924,-0.00035834312438964844,3422.321081161499,0:57:02.321081
2388000,1749957050.820132,0.00296783447265625,3438.684020757675,0:57:18.684021
2400000,1749957067.8398888,0.0006715655326843262,3455.703777551651,0:57:35.703778
2412000,1749957085.2056823,0.0006245970726013184,3473.069571018219,0:57:53.069571
2424000,1749957102.8085763,0.0008117556571960449,3490.6724650859833,0:58:10.672465
2436000,1749957120.1933265,0.0038607120513916016,3508.0572152137756,0:58:28.057215
2448000,1749957137.42358,0.0017386674880981445,3525.2874686717987,0:58:45.287469
2460000,1749957154.6673605,-0.0005205869674682617,3542.5312492847443,0:59:02.531249
2472000,1749957171.6128306,0.004065334796905518,3559.476719379425,0:59:19.476719
