step,wall_time,ep_len_mean,relative_seconds,relative_time
1044000,1749955102.1594875,24.0,1506.433474779129,0:25:06.433475
1056000,1749955119.7371125,24.0,1524.0110998153687,0:25:24.011100
1068000,1749955136.7081091,24.0,1540.9820964336395,0:25:40.982096
1080000,1749955153.1353931,24.0,1557.4093804359436,0:25:57.409380
1092000,1749955170.107877,24.0,1574.381864309311,0:26:14.381864
1104000,1749955187.109244,24.0,1591.3832314014435,0:26:31.383231
1116000,1749955203.8586938,24.0,1608.132681131363,0:26:48.132681
1128000,1749955221.0882506,24.0,1625.3622379302979,0:27:05.362238
1140000,1749955238.259439,24.0,1642.53342628479,0:27:22.533426
1152000,1749955255.3995147,24.0,1659.6735019683838,0:27:39.673502
1164000,1749955272.357418,24.0,1676.6314053535461,0:27:56.631405
1176000,1749955289.3688927,24.0,1693.6428799629211,0:28:13.642880
1188000,1749955306.6926787,24.0,1710.9666659832,0:28:30.966666
1200000,1749955323.7584045,24.0,1728.0323917865753,0:28:48.032392
1212000,1749955341.2217145,24.0,1745.495701789856,0:29:05.495702
1224000,1749955359.2676573,24.0,1763.5416445732117,0:29:23.541645
1236000,1749955376.273622,24.0,1780.5476093292236,0:29:40.547609
1248000,1749955392.751693,24.0,1797.0256803035736,0:29:57.025680
1260000,1749955409.56205,24.0,1813.8360373973846,0:30:13.836037
1272000,1749955426.5058284,24.0,1830.7798156738281,0:30:30.779816
1284000,1749955443.431092,24.0,1847.705079317093,0:30:47.705079
1296000,1749955461.666888,24.0,1865.9408752918243,0:31:05.940875
1308000,1749955479.6775243,24.0,1883.9515116214752,0:31:23.951512
1320000,1749955497.0605087,24.0,1901.3344960212708,0:31:41.334496
1332000,1749955514.7303085,24.0,1919.0042958259583,0:31:59.004296
1344000,1749955532.1305888,24.0,1936.4045760631561,0:32:16.404576
1356000,1749955550.365751,24.0,1954.6397383213043,0:32:34.639738
1368000,1749955568.4911826,24.0,1972.7651698589325,0:32:52.765170
1380000,1749955586.1281226,24.0,1990.402109861374,0:33:10.402110
1392000,1749955603.5334067,24.0,2007.80739402771,0:33:27.807394
1404000,1749955620.6990654,24.0,2024.973052740097,0:33:44.973053
1416000,1749955639.1113546,24.0,2043.3853418827057,0:34:03.385342
1428000,1749955662.0560021,24.0,2066.3299894332886,0:34:26.329989
1440000,1749955679.4396055,24.0,2083.7135927677155,0:34:43.713593
1452000,1749955696.9501958,24.0,2101.2241830825806,0:35:01.224183
1464000,1749955714.1905627,24.0,2118.4645500183105,0:35:18.464550
1476000,1749955731.8819559,24.0,2136.1559431552887,0:35:36.155943
1488000,1749955750.3728182,24.0,2154.646805524826,0:35:54.646806
1500000,1749955767.5634356,24.0,2171.837422847748,0:36:11.837423
1512000,1749955785.1210427,24.0,2189.3950300216675,0:36:29.395030
1524000,1749955802.3331316,24.0,2206.607118844986,0:36:46.607119
1536000,1749955819.593436,24.0,2223.8674232959747,0:37:03.867423
1548000,1749955837.3920634,24.0,2241.666050672531,0:37:21.666051
1560000,1749955855.1146612,24.0,2259.3886485099792,0:37:39.388649
1572000,1749955872.3141248,24.0,2276.58811211586,0:37:56.588112
1584000,1749955889.4501994,24.0,2293.7241866588593,0:38:13.724187
1596000,1749955906.9195223,24.0,2311.193509578705,0:38:31.193510
1608000,1749955924.287474,24.0,2328.561461210251,0:38:48.561461
1620000,1749955942.5641935,24.0,2346.8381807804108,0:39:06.838181
1632000,1749955960.5046113,24.0,2364.778598546982,0:39:24.778599
1644000,1749955977.858193,24.0,2382.132180213928,0:39:42.132180
1656000,1749955995.1480663,24.0,2399.4220535755157,0:39:59.422054
1668000,1749956012.4313014,24.0,2416.7052886486053,0:40:16.705289
1680000,1749956030.4844716,24.0,2434.758458852768,0:40:34.758459
1692000,1749956049.1368825,24.0,2453.4108698368073,0:40:53.410870
1704000,1749956066.674669,24.0,2470.948656320572,0:41:10.948656
1716000,1749956083.95849,24.0,2488.2324771881104,0:41:28.232477
1728000,1749956101.2556202,24.0,2505.5296075344086,0:41:45.529608
1740000,1749956118.9409096,24.0,2523.214896917343,0:42:03.214897
1752000,1749956137.7012978,24.0,2541.975285053253,0:42:21.975285
1764000,1749956154.791141,24.0,2559.065128326416,0:42:39.065128
1776000,1749956171.9708369,24.0,2576.2448241710663,0:42:56.244824
1788000,1749956189.1440976,24.0,2593.418084859848,0:43:13.418085
1800000,1749956206.717957,24.0,2610.9919443130493,0:43:30.991944
1812000,1749956224.7750673,24.0,2629.04905462265,0:43:49.049055
1824000,1749956242.6974993,24.0,2646.971486568451,0:44:06.971487
1836000,1749956260.0972927,24.0,2664.3712799549103,0:44:24.371280
1848000,1749956277.5798733,24.0,2681.853860616684,0:44:41.853861
1860000,1749956294.860304,24.0,2699.134291410446,0:44:59.134291
1872000,1749956313.0290637,24.0,2717.303050994873,0:45:17.303051
1884000,1749956331.8124166,24.0,2736.0864038467407,0:45:36.086404
1896000,1749956349.3140328,24.0,2753.5880200862885,0:45:53.588020
1908000,1749956366.35021,24.0,2770.624197244644,0:46:10.624197
1920000,1749956383.2863955,24.0,2787.5603828430176,0:46:27.560383
1932000,1749956400.10239,24.0,2804.3763773441315,0:46:44.376377
1944000,1749956417.9685621,24.0,2822.242549419403,0:47:02.242549
1956000,1749956435.85438,24.0,2840.1283671855927,0:47:20.128367
1968000,1749956453.177532,24.0,2857.4515192508698,0:47:37.451519
1980000,1749956470.1037076,24.0,2874.3776948451996,0:47:54.377695
1992000,1749956487.1339438,24.0,2891.4079310894012,0:48:11.407931
2004000,1749956503.9687672,24.0,2908.242754459381,0:48:28.242754
2016000,1749956520.9044764,24.0,2925.1784636974335,0:48:45.178464
2028000,1749956538.3340733,24.0,2942.6080605983734,0:49:02.608061
2040000,1749956555.5745902,24.0,2959.8485774993896,0:49:19.848577
2052000,1749956572.2232113,24.0,2976.4971985816956,0:49:36.497199
2064000,1749956589.2052004,24.0,2993.4791877269745,0:49:53.479188
2076000,1749956605.9008698,24.0,3010.1748571395874,0:50:10.174857
2088000,1749956622.2351527,24.0,3026.5091400146484,0:50:26.509140
2100000,1749956638.9025497,24.0,3043.1765370368958,0:50:43.176537
2112000,1749956656.6567926,24.0,3060.9307799339294,0:51:00.930780
2124000,1749956674.0491145,24.0,3078.323101758957,0:51:18.323102
2136000,1749956691.1074684,24.0,3095.3814556598663,0:51:35.381456
2148000,1749956708.0613782,24.0,3112.3353655338287,0:51:52.335366
