step,wall_time,ep_rew_mean,relative_seconds,relative_time
804000,1749656470.4007473,-27.897920608520508,780.0334663391113,0:13:00.033466
816000,1749656482.2059274,-28.78111457824707,791.8386464118958,0:13:11.838646
828000,1749656493.9952588,-25.467390060424805,803.627977848053,0:13:23.627978
840000,1749656505.3428743,-38.126155853271484,814.975593328476,0:13:34.975593
852000,1749656516.787461,-35.18404769897461,826.4201800823212,0:13:46.420180
864000,1749656528.7034538,-31.541704177856445,838.3361728191376,0:13:58.336173
876000,1749656540.5369573,-30.864402770996094,850.1696763038635,0:14:10.169676
888000,1749656552.358862,-24.688671112060547,861.9915809631348,0:14:21.991581
900000,1749656564.2711775,-29.94049644470215,873.9038965702057,0:14:33.903897
912000,1749656576.1681237,-26.16002655029297,885.8008427619934,0:14:45.800843
924000,1749656587.835396,-33.51210403442383,897.4681150913239,0:14:57.468115
936000,1749656599.321013,-32.841270446777344,908.9537320137024,0:15:08.953732
948000,1749656611.1656325,-26.972606658935547,920.7983515262604,0:15:20.798352
960000,1749656622.9453993,-28.655710220336914,932.5781183242798,0:15:32.578118
972000,1749656634.7799056,-32.2839241027832,944.4126245975494,0:15:44.412625
984000,1749656646.5301757,-28.612850189208984,956.1628947257996,0:15:56.162895
996000,1749656658.3921442,-27.377269744873047,968.024863243103,0:16:08.024863
1008000,1749656670.000914,-37.64753723144531,979.6336331367493,0:16:19.633633
1020000,1749656681.3124526,-32.033477783203125,990.9451715946198,0:16:30.945172
1032000,1749656693.0969555,-26.953767776489258,1002.729674577713,0:16:42.729675
1044000,1749656704.8655503,-30.758119583129883,1014.4982693195343,0:16:54.498269
1056000,1749656716.639647,-29.001331329345703,1026.2723660469055,0:17:06.272366
1068000,1749656728.4002795,-22.21127700805664,1038.0329985618591,0:17:18.032999
1080000,1749656740.191953,-26.064971923828125,1049.8246719837189,0:17:29.824672
1092000,1749656751.9171298,-28.85944175720215,1061.5498487949371,0:17:41.549849
1104000,1749656763.063097,-22.03751564025879,1072.695816040039,0:17:52.695816
1116000,1749656774.859956,-23.034706115722656,1084.4926750659943,0:18:04.492675
1128000,1749656786.6766036,-27.57366180419922,1096.3093225955963,0:18:16.309323
1140000,1749656798.4248233,-24.91984748840332,1108.0575423240662,0:18:28.057542
1152000,1749656810.1988785,-24.198444366455078,1119.8315975666046,0:18:39.831598
1164000,1749656821.9795399,-26.44940757751465,1131.6122589111328,0:18:51.612259
1176000,1749656833.536923,-30.89143943786621,1143.1696419715881,0:19:03.169642
1188000,1749656844.8179035,-34.46588897705078,1154.4506225585938,0:19:14.450623
1200000,1749656856.5384965,-20.45513153076172,1166.1712155342102,0:19:26.171216
1212000,1749656868.2979681,-25.656225204467773,1177.9306871891022,0:19:37.930687
1224000,1749656880.1086524,-29.183387756347656,1189.7413713932037,0:19:49.741371
1236000,1749656891.9736404,-23.708297729492188,1201.6063594818115,0:20:01.606359
1248000,1749656903.7438536,-19.788715362548828,1213.3765726089478,0:20:13.376573
1260000,1749656915.3123884,-26.694116592407227,1224.945107460022,0:20:24.945107
