step,wall_time,train_approx_kl,relative_seconds,relative_time
708000,1749656374.2020664,4.9793175094237085e-06,671.5965540409088,0:11:11.596554
720000,1749656385.9841166,1.080553738574963e-05,683.3786041736603,0:11:23.378604
732000,1749656397.6509373,1.838108255469706e-05,695.0454249382019,0:11:35.045425
744000,1749656408.706512,1.8422777429805137e-05,706.1009995937347,0:11:46.101000
756000,1749656420.4571803,9.664987010182813e-05,717.851667881012,0:11:57.851668
768000,1749656434.7580068,8.534929293091409e-06,732.152494430542,0:12:12.152494
780000,1749656446.6823869,2.8240890969755128e-05,744.0768744945526,0:12:24.076874
792000,1749656458.5221198,0.00011730985715985298,755.9166073799133,0:12:35.916607
804000,1749656470.304471,2.3417720512952656e-05,767.6989586353302,0:12:47.698959
816000,1749656482.1095924,6.750496686436236e-05,779.5040800571442,0:12:59.504080
828000,1749656493.897436,0.00016018413589335978,791.2919235229492,0:13:11.291924
840000,1749656505.150957,0.00021883910812903196,802.545444726944,0:13:22.545445
852000,1749656516.6904223,0.0002620750747155398,814.0849099159241,0:13:34.084910
864000,1749656528.5924072,0.0013561702799052,825.9868948459625,0:13:45.986895
876000,1749656540.440611,0.0005971640930511057,837.8350985050201,0:13:57.835099
888000,1749656552.263329,0.00016889530525077134,849.6578166484833,0:14:09.657817
900000,1749656564.1731322,0.00017977894458454102,861.5676198005676,0:14:21.567620
912000,1749656576.0699253,0.0003034883120562881,873.4644129276276,0:14:33.464413
924000,1749656587.6578407,0.00026034237816929817,885.0523283481598,0:14:45.052328
936000,1749656599.1142104,0.0011566246394068003,896.5086979866028,0:14:56.508698
948000,1749656611.0709207,0.0006771176704205573,908.4654083251953,0:15:08.465408
960000,1749656622.845409,0.002954846015200019,920.2398965358734,0:15:20.239897
972000,1749656634.6658275,0.003291446017101407,932.0603151321411,0:15:32.060315
984000,1749656646.435061,0.000691463181283325,943.8295485973358,0:15:43.829549
996000,1749656658.2942443,0.0003464358451310545,955.6887319087982,0:15:55.688732
1008000,1749656669.823579,0.0010179092641919851,967.2180666923523,0:16:07.218067
1020000,1749656681.1223319,0.0006336746155284345,978.5168194770813,0:16:18.516819
1032000,1749656692.9998538,0.0012804557336494327,990.394341468811,0:16:30.394341
1044000,1749656704.7701812,0.0029522620607167482,1002.1646687984467,0:16:42.164669
1056000,1749656716.5219152,0.0014326719101518393,1013.9164028167725,0:16:53.916403
1068000,1749656728.3047233,0.0043380046263337135,1025.699210882187,0:17:05.699211
1080000,1749656740.0945034,0.0023285842034965754,1037.48899102211,0:17:17.488991
1092000,1749656751.7324054,0.00029703404288738966,1049.126893043518,0:17:29.126893
1104000,1749656762.8802369,0.004271623678505421,1060.27472448349,0:17:40.274724
1116000,1749656774.76368,0.0010198375675827265,1072.1581676006317,0:17:52.158168
1128000,1749656786.5805614,0.0006636687321588397,1083.9750490188599,0:18:03.975049
1140000,1749656798.3092668,0.00022323006123770028,1095.7037544250488,0:18:15.703754
1152000,1749656810.0987942,0.004003078676760197,1107.493281841278,0:18:27.493282
1164000,1749656821.8822818,0.003993502818048,1119.276769399643,0:18:39.276769
1176000,1749656833.357904,0.005172259174287319,1130.752391576767,0:18:50.752392
1188000,1749656844.6390224,0.004924203269183636,1142.0335099697113,0:19:02.033510
1200000,1749656856.4423833,0.004640308208763599,1153.8368709087372,0:19:13.836871
1212000,1749656868.2016387,0.006190361920744181,1165.596126317978,0:19:25.596126
1224000,1749656880.0120564,0.005834341049194336,1177.406543970108,0:19:37.406544
1236000,1749656891.8767412,0.004167086910456419,1189.2712287902832,0:19:49.271229
1248000,1749656903.6448517,0.004390956833958626,1201.0393393039703,0:20:01.039339
1260000,1749656915.1330996,0.002762254560366273,1212.5275871753693,0:20:12.527587
1272000,1749656926.4087036,0.004380588419735432,1223.8031911849976,0:20:23.803191
1284000,1749656938.2062035,0.006834995001554489,1235.6006910800934,0:20:35.600691
1296000,1749656949.983186,0.005431547295302153,1247.377673625946,0:20:47.377674
1308000,1749656961.850004,0.0053863669745624065,1259.2444915771484,0:20:59.244492
1320000,1749656973.685788,0.00516084861010313,1271.0802755355835,0:21:11.080276
1332000,1749656985.5847068,0.005997517146170139,1282.9791944026947,0:21:22.979194
1344000,1749656997.172783,0.004645120352506638,1294.5672705173492,0:21:34.567271
1356000,1749657008.404939,0.005253493785858154,1305.7994265556335,0:21:45.799427
1368000,1749657020.276027,0.0037253573536872864,1317.6705145835876,0:21:57.670515
1380000,1749657032.1439483,0.004397072363644838,1329.5384359359741,0:22:09.538436
1392000,1749657046.7766266,0.00499103544279933,1344.171114206314,0:22:24.171114
1404000,1749657058.8172593,0.005679250694811344,1356.211746931076,0:22:36.211747
1416000,1749657070.8172684,0.0041668107733130455,1368.211755990982,0:22:48.211756
1428000,1749657082.8044033,0.004800853319466114,1380.1988909244537,0:23:00.198891
1440000,1749657094.290889,0.004314028657972813,1391.6853766441345,0:23:11.685377
1452000,1749657105.9763515,0.005828202702105045,1403.3708391189575,0:23:23.370839
1464000,1749657118.1259973,0.005520944483578205,1415.5204849243164,0:23:35.520485
1476000,1749657129.9636502,0.00560202868655324,1427.358137845993,0:23:47.358138
1488000,1749657141.8904135,0.0075029791332781315,1439.2849011421204,0:23:59.284901
1500000,1749657153.690698,0.005614173598587513,1451.0851855278015,0:24:11.085186
1512000,1749657165.6171436,0.00540082948282361,1463.0116312503815,0:24:23.011631
