step,wall_time,train_learning_rate,relative_seconds,relative_time
1632000,1749733541.9023213,9.999999747378752e-05,1851.9882996082306,0:30:51.988300
1644000,1749733555.400973,9.999999747378752e-05,1865.4869513511658,0:31:05.486951
1656000,1749733568.8734407,9.999999747378752e-05,1878.9594190120697,0:31:18.959419
1668000,1749733582.2891674,9.999999747378752e-05,1892.3751456737518,0:31:32.375146
1680000,1749733595.741628,9.999999747378752e-05,1905.8276062011719,0:31:45.827606
1692000,1749733609.2058032,9.999999747378752e-05,1919.291781425476,0:31:59.291781
1704000,1749733622.6836064,9.999999747378752e-05,1932.7695846557617,0:32:12.769585
1716000,1749733636.1677148,9.999999747378752e-05,1946.2536931037903,0:32:26.253693
1728000,1749733649.494354,9.999999747378752e-05,1959.5803322792053,0:32:39.580332
1740000,1749733662.956381,9.999999747378752e-05,1973.0423593521118,0:32:53.042359
1752000,1749733676.5188193,9.999999747378752e-05,1986.6047976016998,0:33:06.604798
1764000,1749733690.1651087,9.999999747378752e-05,2000.2510869503021,0:33:20.251087
1776000,1749733703.8959744,9.999999747378752e-05,2013.9819526672363,0:33:33.981953
1788000,1749733717.6385949,9.999999747378752e-05,2027.724573135376,0:33:47.724573
1800000,1749733731.6201313,9.999999747378752e-05,2041.7061095237732,0:34:01.706110
1812000,1749733745.537958,9.999999747378752e-05,2055.6239361763,0:34:15.623936
1824000,1749733759.3128912,9.999999747378752e-05,2069.3988695144653,0:34:29.398870
1836000,1749733772.9313924,9.999999747378752e-05,2083.017370700836,0:34:43.017371
1848000,1749733786.75078,9.999999747378752e-05,2096.836758375168,0:34:56.836758
1860000,1749733800.6499364,9.999999747378752e-05,2110.735914707184,0:35:10.735915
1872000,1749733814.3627877,9.999999747378752e-05,2124.4487659931183,0:35:24.448766
1884000,1749733827.8640091,9.999999747378752e-05,2137.949987411499,0:35:37.949987
1896000,1749733841.3520064,9.999999747378752e-05,2151.4379847049713,0:35:51.437985
1908000,1749733855.101864,9.999999747378752e-05,2165.1878423690796,0:36:05.187842
1920000,1749733868.6135578,9.999999747378752e-05,2178.699536085129,0:36:18.699536
1932000,1749733882.152599,9.999999747378752e-05,2192.2385773658752,0:36:32.238577
1944000,1749733895.7200084,9.999999747378752e-05,2205.8059866428375,0:36:45.805987
1956000,1749733909.4539213,9.999999747378752e-05,2219.539899587631,0:36:59.539900
1968000,1749733928.3276212,9.999999747378752e-05,2238.4135994911194,0:37:18.413599
1980000,1749733942.0012145,9.999999747378752e-05,2252.087192773819,0:37:32.087193
1992000,1749733955.7038748,9.999999747378752e-05,2265.7898530960083,0:37:45.789853
2004000,1749733969.4265563,9.999999747378752e-05,2279.5125346183777,0:37:59.512535
2016000,1749733983.1002192,9.999999747378752e-05,2293.1861975193024,0:38:13.186198
2028000,1749733996.8259187,9.999999747378752e-05,2306.911896944046,0:38:26.911897
2040000,1749734010.6021895,9.999999747378752e-05,2320.68816781044,0:38:40.688168
2052000,1749734024.3316004,9.999999747378752e-05,2334.4175786972046,0:38:54.417579
2064000,1749734038.441556,9.999999747378752e-05,2348.5275342464447,0:39:08.527534
2076000,1749734052.1140904,9.999999747378752e-05,2362.2000687122345,0:39:22.200069
2088000,1749734065.6344793,9.999999747378752e-05,2375.7204575538635,0:39:35.720458
2100000,1749734079.0798888,9.999999747378752e-05,2389.165867090225,0:39:49.165867
2112000,1749734092.749642,9.999999747378752e-05,2402.835620164871,0:40:02.835620
2124000,1749734106.349084,9.999999747378752e-05,2416.4350621700287,0:40:16.435062
2136000,1749734119.9832532,9.999999747378752e-05,2430.0692315101624,0:40:30.069232
2148000,1749734133.740805,9.999999747378752e-05,2443.826783180237,0:40:43.826783
2160000,1749734147.3034294,9.999999747378752e-05,2457.389407634735,0:40:57.389408
2172000,1749734161.0699983,9.999999747378752e-05,2471.1559765338898,0:41:11.155977
2184000,1749734174.7431157,9.999999747378752e-05,2484.8290939331055,0:41:24.829094
2196000,1749734188.2705398,9.999999747378752e-05,2498.3565180301666,0:41:38.356518
2208000,1749734201.7152128,9.999999747378752e-05,2511.8011910915375,0:41:51.801191
2220000,1749734215.1193113,9.999999747378752e-05,2525.2052896022797,0:42:05.205290
2232000,1749734228.4785807,9.999999747378752e-05,2538.564558982849,0:42:18.564559
2244000,1749734241.8581057,9.999999747378752e-05,2551.944083929062,0:42:31.944084
2256000,1749734255.2719815,9.999999747378752e-05,2565.3579597473145,0:42:45.357960
2268000,1749734268.7041993,9.999999747378752e-05,2578.7901775836945,0:42:58.790178
2280000,1749734282.316203,9.999999747378752e-05,2592.4021813869476,0:43:12.402181
2292000,1749734295.9441042,9.999999747378752e-05,2606.030082464218,0:43:26.030082
2304000,1749734309.3007777,9.999999747378752e-05,2619.3867559432983,0:43:39.386756
2316000,1749734322.7203095,9.999999747378752e-05,2632.806287765503,0:43:52.806288
2328000,1749734336.2906952,9.999999747378752e-05,2646.3766734600067,0:44:06.376673
2340000,1749734349.6868017,9.999999747378752e-05,2659.772779941559,0:44:19.772780
2352000,1749734363.2464955,9.999999747378752e-05,2673.332473754883,0:44:33.332474
2364000,1749734376.9950554,9.999999747378752e-05,2687.081033706665,0:44:47.081034
2376000,1749734391.2733996,9.999999747378752e-05,2701.359377861023,0:45:01.359378
2388000,1749734405.2272308,9.999999747378752e-05,2715.3132090568542,0:45:15.313209
2400000,1749734419.0405104,9.999999747378752e-05,2729.126488685608,0:45:29.126489
2412000,1749734432.6392946,9.999999747378752e-05,2742.7252728939056,0:45:42.725273
2424000,1749734446.3588388,9.999999747378752e-05,2756.4448170661926,0:45:56.444817
2436000,1749734460.2154467,9.999999747378752e-05,2770.3014249801636,0:46:10.301425
2448000,1749734473.9629016,9.999999747378752e-05,2784.0488798618317,0:46:24.048880
2460000,1749734487.8602626,9.999999747378752e-05,2797.946240901947,0:46:37.946241
2472000,1749734501.782151,9.999999747378752e-05,2811.8681292533875,0:46:51.868129
2484000,1749734515.7506535,9.999999747378752e-05,2825.8366317749023,0:47:05.836632
2496000,1749734529.6178465,9.999999747378752e-05,2839.7038247585297,0:47:19.703825
2508000,1749734543.6612616,9.999999747378752e-05,2853.7472398281097,0:47:33.747240
2520000,1749734557.2273893,9.999999747378752e-05,2867.3133676052094,0:47:47.313368
2532000,1749734570.8117433,9.999999747378752e-05,2880.897721529007,0:48:00.897722
2544000,1749734584.7617638,9.999999747378752e-05,2894.8477420806885,0:48:14.847742
2556000,1749734598.5408826,9.999999747378752e-05,2908.62686085701,0:48:28.626861
2568000,1749734612.0743713,9.999999747378752e-05,2922.1603496074677,0:48:42.160350
2580000,1749734625.882789,9.999999747378752e-05,2935.9687671661377,0:48:55.968767
2592000,1749734639.8748853,9.999999747378752e-05,2949.9608635902405,0:49:09.960864
