step,wall_time,train_explained_variance,relative_seconds,relative_time
384000,1749732116.8318417,-1.1920928955078125e-07,426.91783261299133,0:07:06.917833
396000,1749732130.5932076,0.0,440.67919850349426,0:07:20.679199
408000,1749732144.1724074,-1.1920928955078125e-07,454.25839829444885,0:07:34.258398
420000,1749732157.7568696,0.0,467.8428604602814,0:07:47.842860
432000,1749732171.3217282,0.0,481.4077191352844,0:08:01.407719
444000,1749732185.3906875,0.0,495.47667837142944,0:08:15.476678
456000,1749732199.0675962,0.0,509.15358710289,0:08:29.153587
468000,1749732212.8550029,0.0,522.9409937858582,0:08:42.940994
480000,1749732227.8112168,-1.1920928955078125e-07,537.897207736969,0:08:57.897208
492000,1749732241.4811752,0.0,551.5671660900116,0:09:11.567166
504000,1749732255.1879814,0.0,565.2739722728729,0:09:25.273972
516000,1749732268.7531183,1.1920928955078125e-07,578.8391091823578,0:09:38.839109
528000,1749732282.3090034,0.0,592.3949942588806,0:09:52.394994
540000,1749732295.9258633,0.0,606.0118541717529,0:10:06.011854
552000,1749732309.6492612,0.0,619.7352521419525,0:10:19.735252
564000,1749732323.2913566,2.384185791015625e-07,633.3773474693298,0:10:33.377347
576000,1749732337.1268106,1.1920928955078125e-07,647.2128014564514,0:10:47.212801
588000,1749732351.109118,2.384185791015625e-07,661.1951088905334,0:11:01.195109
600000,1749732365.30874,2.980232238769531e-07,675.3947308063507,0:11:15.394731
612000,1749732379.6251202,6.556510925292969e-07,689.7111110687256,0:11:29.711111
624000,1749732393.8207223,0.014523744583129883,703.9067132472992,0:11:43.906713
636000,1749732407.650114,0.03372609615325928,717.73610496521,0:11:57.736105
648000,1749732421.2581623,0.03008025884628296,731.3441531658173,0:12:11.344153
660000,1749732434.8095372,0.027616381645202637,744.8955280780792,0:12:24.895528
672000,1749732448.3570318,0.02633005380630493,758.4430227279663,0:12:38.443023
684000,1749732461.8518305,0.029810428619384766,771.9378213882446,0:12:51.937821
696000,1749732475.2598195,0.0338437557220459,785.3458104133606,0:13:05.345810
708000,1749732488.9388392,0.03330737352371216,799.0248301029205,0:13:19.024830
720000,1749732502.4612281,0.03440392017364502,812.5472190380096,0:13:32.547219
732000,1749732516.0220234,0.03764265775680542,826.1080143451691,0:13:46.108014
744000,1749732529.5250788,0.031240344047546387,839.6110696792603,0:13:59.611070
756000,1749732543.0050704,0.026953935623168945,853.0910613536835,0:14:13.091061
768000,1749732556.457574,0.02982228994369507,866.5435647964478,0:14:26.543565
780000,1749732569.949563,0.02735447883605957,880.0355539321899,0:14:40.035554
792000,1749732583.319456,0.027969658374786377,893.4054470062256,0:14:53.405447
804000,1749732596.5788708,0.027628660202026367,906.6648616790771,0:15:06.664862
816000,1749732609.8572462,0.028981268405914307,919.9432370662689,0:15:19.943237
828000,1749732623.2632341,0.029843389987945557,933.3492250442505,0:15:33.349225
840000,1749732636.7477486,0.026605546474456787,946.8337395191193,0:15:46.833740
852000,1749732650.2317233,0.03681832551956177,960.317714214325,0:16:00.317714
864000,1749732663.822061,0.03235983848571777,973.9080519676208,0:16:13.908052
876000,1749732677.4872925,0.02891695499420166,987.5732834339142,0:16:27.573283
888000,1749732696.6267653,0.02493339776992798,1006.7127561569214,0:16:46.712756
900000,1749732709.7226021,0.02739858627319336,1019.8085930347443,0:16:59.808593
912000,1749732723.0575836,0.029642343521118164,1033.143574476242,0:17:13.143574
924000,1749732736.508947,0.027839839458465576,1046.594937801361,0:17:26.594938
936000,1749732749.8331192,0.025765657424926758,1059.9191100597382,0:17:39.919110
948000,1749732763.3586764,0.02452564239501953,1073.444667339325,0:17:53.444667
960000,1749732776.8888886,0.032520413398742676,1086.9748795032501,0:18:06.974880
972000,1749732790.3814566,0.016909897327423096,1100.4674475193024,0:18:20.467448
984000,1749732803.813236,0.0231284499168396,1113.8992269039154,0:18:33.899227
996000,1749732817.1184144,0.02530306577682495,1127.2044053077698,0:18:47.204405
1008000,1749732830.370898,0.026115238666534424,1140.4568889141083,0:19:00.456889
1020000,1749732843.6894238,0.025635361671447754,1153.7754147052765,0:19:13.775415
1032000,1749732857.0326278,0.027415454387664795,1167.1186187267303,0:19:27.118619
1044000,1749732870.325718,0.02042531967163086,1180.411708831787,0:19:40.411709
