step,wall_time,train_value_loss,relative_seconds,relative_time
384000,1749732116.832693,1529566.25,426.9181635379791,0:07:06.918164
396000,1749732130.5938263,1169507.5,440.67929673194885,0:07:20.679297
408000,1749732144.1733131,983116.4375,454.2587835788727,0:07:34.258784
420000,1749732157.757873,773777.0625,467.84334349632263,0:07:47.843343
432000,1749732171.322562,583606.0,481.40803241729736,0:08:01.408032
444000,1749732185.391446,434691.3125,495.47691655158997,0:08:15.476917
456000,1749732199.0685468,315982.34375,509.1540172100067,0:08:29.154017
468000,1749732212.855809,221077.921875,522.9412794113159,0:08:42.941279
480000,1749732227.817688,157401.5625,537.9031584262848,0:08:57.903158
492000,1749732241.4819846,85485.8515625,551.5674550533295,0:09:11.567455
504000,1749732255.1886292,43192.42578125,565.2740995883942,0:09:25.274100
516000,1749732268.7540717,24566.92578125,578.8395421504974,0:09:38.839542
528000,1749732282.309978,11529.646484375,592.3954484462738,0:09:52.395448
540000,1749732295.9267964,3621.45166015625,606.0122668743134,0:10:06.012267
552000,1749732309.6502674,1136.66845703125,619.7357378005981,0:10:19.735738
564000,1749732323.2919412,842.4700317382812,633.3774116039276,0:10:33.377412
576000,1749732337.1273727,887.29052734375,647.2128431797028,0:10:47.212843
588000,1749732351.109941,747.2987060546875,661.1954114437103,0:11:01.195411
600000,1749732365.309574,661.8336181640625,675.3950443267822,0:11:15.395044
612000,1749732379.6259665,688.2844848632812,689.7114369869232,0:11:29.711437
624000,1749732393.821544,730.0269165039062,703.9070143699646,0:11:43.907014
636000,1749732407.6506448,578.8676147460938,717.7361152172089,0:11:57.736115
648000,1749732421.2590215,984.4908447265625,731.3444919586182,0:12:11.344492
660000,1749732434.8105133,885.0779418945312,744.8959836959839,0:12:24.895984
672000,1749732448.357826,623.5546875,758.4432964324951,0:12:38.443296
684000,1749732461.8526618,849.951416015625,771.9381322860718,0:12:51.938132
696000,1749732475.2606795,514.5574340820312,785.3461499214172,0:13:05.346150
708000,1749732488.9393072,708.6166381835938,799.0247776508331,0:13:19.024778
720000,1749732502.4617295,697.2583618164062,812.5471999645233,0:13:32.547200
732000,1749732516.0232408,585.5108032226562,826.1087112426758,0:13:46.108711
744000,1749732529.5262315,668.0010375976562,839.611701965332,0:13:59.611702
756000,1749732543.0058408,518.9979248046875,853.0913112163544,0:14:13.091311
768000,1749732556.4580557,479.3652648925781,866.5435261726379,0:14:26.543526
780000,1749732569.950262,855.3626708984375,880.0357325077057,0:14:40.035733
792000,1749732583.3202415,631.1826782226562,893.405711889267,0:14:53.405712
804000,1749732596.579506,715.7080078125,906.6649763584137,0:15:06.664976
816000,1749732609.8578112,477.6807861328125,919.9432816505432,0:15:19.943282
828000,1749732623.2638366,602.3881225585938,933.3493070602417,0:15:33.349307
840000,1749732636.7486875,519.6441650390625,946.8341579437256,0:15:46.834158
852000,1749732650.2323012,474.5454406738281,960.3177716732025,0:16:00.317772
864000,1749732663.823023,414.7673034667969,973.9084935188293,0:16:13.908494
876000,1749732677.487837,594.8751831054688,987.5733075141907,0:16:27.573308
888000,1749732696.6273699,419.2119140625,1006.7128403186798,0:16:46.712840
900000,1749732709.7231104,375.5764465332031,1019.8085808753967,0:16:59.808581
912000,1749732723.0581627,449.4662780761719,1033.1436331272125,0:17:13.143633
924000,1749732736.5095007,417.4737548828125,1046.5949711799622,0:17:26.594971
936000,1749732749.833912,362.08453369140625,1059.9193823337555,0:17:39.919382
948000,1749732763.3594408,394.7721252441406,1073.4449112415314,0:17:53.444911
960000,1749732776.8896537,361.0702819824219,1086.9751241207123,0:18:06.975124
972000,1749732790.3819873,442.7431335449219,1100.4674577713013,0:18:20.467458
984000,1749732803.814084,328.7938232421875,1113.899554491043,0:18:33.899554
996000,1749732817.1191938,288.0494384765625,1127.2046642303467,0:18:47.204664
1008000,1749732830.3719716,301.4754333496094,1140.4574420452118,0:19:00.457442
1020000,1749732843.6898975,333.0331726074219,1153.775367975235,0:19:13.775368
1032000,1749732857.033071,266.10626220703125,1167.1185414791107,0:19:27.118541
1044000,1749732870.3265276,209.6862030029297,1180.4119980335236,0:19:40.411998
1056000,1749732883.7402809,276.5878601074219,1193.8257513046265,0:19:53.825751
1068000,1749732897.0981333,317.2171630859375,1207.1836037635803,0:20:07.183604
1080000,1749732910.4780102,293.3721008300781,1220.5634806156158,0:20:20.563481
1092000,1749732923.835107,207.31028747558594,1233.9205775260925,0:20:33.920578
1104000,1749732937.0972567,231.75274658203125,1247.182727098465,0:20:47.182727
1116000,1749732950.738252,266.9963073730469,1260.8237223625183,0:21:00.823722
1128000,1749732964.1980982,220.4807586669922,1274.2835686206818,0:21:14.283569
1140000,1749732977.668892,132.73355102539062,1287.7543623447418,0:21:27.754362
