step,wall_time,train_loss,relative_seconds,relative_time
420000,1749899927.8414984,655788.6875,438.80536818504333,0:07:18.805368
432000,1749899941.0138786,485552.3125,451.97774839401245,0:07:31.977748
444000,1749899954.1448083,395113.875,465.1086781024933,0:07:45.108678
456000,1749899967.2612357,320243.625,478.2251055240631,0:07:58.225106
468000,1749899980.3530586,256333.296875,491.31692838668823,0:08:11.316928
480000,1749899993.5350826,206343.59375,504.4989523887634,0:08:24.498952
492000,1749900006.7096825,133493.671875,517.673552274704,0:08:37.673552
504000,1749900019.9756055,85457.0546875,530.9394752979279,0:08:50.939475
516000,1749900033.1793964,65100.546875,544.1432662010193,0:09:04.143266
528000,1749900046.468182,41283.6015625,557.432051897049,0:09:17.432052
540000,1749900059.620398,20385.58203125,570.5842678546906,0:09:30.584268
552000,1749900072.7859004,9799.13671875,583.7497701644897,0:09:43.749770
564000,1749900085.6904373,5059.19677734375,596.6543071269989,0:09:56.654307
576000,1749900098.485333,2848.526611328125,609.4492027759552,0:10:09.449203
588000,1749900111.536131,1126.272216796875,622.5000007152557,0:10:22.500001
600000,1749900124.7052379,791.4638671875,635.6691076755524,0:10:35.669108
612000,1749900137.8658798,862.41748046875,648.829749584198,0:10:48.829750
624000,1749900151.1200674,660.1179809570312,662.0839371681213,0:11:02.083937
636000,1749900164.2231686,667.958251953125,675.1870384216309,0:11:15.187038
648000,1749900177.1874368,857.8082275390625,688.1513066291809,0:11:28.151307
660000,1749900190.1825516,804.1110229492188,701.1464214324951,0:11:41.146421
672000,1749900203.164585,421.9393005371094,714.1284549236298,0:11:54.128455
684000,1749900216.260598,250.16163635253906,727.224467754364,0:12:07.224468
696000,1749900229.2657094,216.5343017578125,740.2295792102814,0:12:20.229579
708000,1749900242.2543995,342.95654296875,753.2182693481445,0:12:33.218269
720000,1749900255.2643616,221.91799926757812,766.2282314300537,0:12:46.228231
732000,1749900268.2386742,387.22650146484375,779.2025439739227,0:12:59.202544
744000,1749900281.3435779,163.859375,792.3074476718903,0:13:12.307448
756000,1749900294.2412295,232.46517944335938,805.2050993442535,0:13:25.205099
768000,1749900307.0369084,235.82962036132812,818.0007781982422,0:13:38.000778
780000,1749900320.039847,299.66839599609375,831.0037167072296,0:13:51.003717
792000,1749900333.1489367,189.11001586914062,844.112806558609,0:14:04.112807
804000,1749900346.3280199,207.4333953857422,857.291889667511,0:14:17.291890
816000,1749900359.4418457,178.9691619873047,870.4057154655457,0:14:30.405715
828000,1749900372.5014374,239.81016540527344,883.4653072357178,0:14:43.465307
840000,1749900385.3707423,171.26669311523438,896.3346121311188,0:14:56.334612
852000,1749900398.3076355,256.489990234375,909.271505355835,0:15:09.271505
864000,1749900411.259669,211.57984924316406,922.2235388755798,0:15:22.223539
876000,1749900424.1743767,259.01727294921875,935.1382465362549,0:15:35.138247
888000,1749900437.042443,185.51792907714844,948.0063128471375,0:15:48.006313
900000,1749900449.8874757,162.5387420654297,960.851345539093,0:16:00.851346
912000,1749900462.7719505,189.69239807128906,973.7358202934265,0:16:13.735820
924000,1749900475.6516066,135.96734619140625,986.6154763698578,0:16:26.615476
936000,1749900488.4500887,163.19287109375,999.4139585494995,0:16:39.413959
948000,1749900501.0295396,272.05035400390625,1011.9934093952179,0:16:51.993409
960000,1749900513.7804449,143.82061767578125,1024.7443146705627,0:17:04.744315
972000,1749900526.7604208,200.92286682128906,1037.7242906093597,0:17:17.724291
984000,1749900539.7637258,172.06353759765625,1050.7275955677032,0:17:30.727596
996000,1749900552.6747892,122.34098815917969,1063.6386590003967,0:17:43.638659
1008000,1749900565.3905425,229.54058837890625,1076.354412317276,0:17:56.354412
1020000,1749900578.160352,248.64329528808594,1089.1242218017578,0:18:09.124222
1032000,1749900590.935129,145.75918579101562,1101.8989987373352,0:18:21.898999
1044000,1749900603.7186167,103.79940795898438,1114.6824865341187,0:18:34.682487
1056000,1749900616.5100574,115.04425811767578,1127.4739272594452,0:18:47.473927
1068000,1749900629.3998268,104.6528549194336,1140.3636965751648,0:19:00.363697
1080000,1749900642.5131395,147.87142944335938,1153.4770092964172,0:19:13.477009
1092000,1749900655.9445665,144.61029052734375,1166.9084362983704,0:19:26.908436
1104000,1749900670.0384629,124.1732177734375,1181.002332687378,0:19:41.002333
1116000,1749900683.5889745,141.00526428222656,1194.552844285965,0:19:54.552844
1128000,1749900698.0262256,203.67694091796875,1208.9900953769684,0:20:08.990095
1140000,1749900711.615628,127.62603759765625,1222.5794978141785,0:20:22.579498
1152000,1749900725.1025796,165.84536743164062,1236.0664494037628,0:20:36.066449
1164000,1749900739.1151547,212.9499969482422,1250.079024553299,0:20:50.079025
1176000,1749900752.3579245,110.59185791015625,1263.3217942714691,0:21:03.321794
1188000,1749900765.4607399,195.80401611328125,1276.4246096611023,0:21:16.424610
1200000,1749900778.6386967,174.68032836914062,1289.6025664806366,0:21:29.602566
1212000,1749900792.0809798,114.96135711669922,1303.0448496341705,0:21:43.044850
1224000,1749900805.3542418,269.6908264160156,1316.3181116580963,0:21:56.318112
1236000,1749900819.0416975,145.94277954101562,1330.0055673122406,0:22:10.005567
1248000,1749900832.6516547,147.46075439453125,1343.6155245304108,0:22:23.615525
1260000,1749900845.9827356,132.98094177246094,1356.9466054439545,0:22:36.946605
1272000,1749900859.2573082,102.61820220947266,1370.2211780548096,0:22:50.221178
1284000,1749900872.3285983,76.49341583251953,1383.292468070984,0:23:03.292468
1296000,1749900885.424345,63.856773376464844,1396.3882148265839,0:23:16.388215
1308000,1749900898.5442142,194.73268127441406,1409.5080840587616,0:23:29.508084
1320000,1749900911.5355904,99.54520416259766,1422.499460220337,0:23:42.499460
1332000,1749900924.4651468,96.17150115966797,1435.4290165901184,0:23:55.429017
1344000,1749900937.3604474,121.11840057373047,1448.3243172168732,0:24:08.324317
1356000,1749900950.2774084,123.52327728271484,1461.2412781715393,0:24:21.241278
1368000,1749900963.2376544,80.94849395751953,1474.20152425766,0:24:34.201524
1380000,1749900976.20077,80.64564514160156,1487.16463971138,0:24:47.164640
1392000,1749900989.2358289,87.66788482666016,1500.1996986865997,0:25:00.199699
1404000,1749901001.9968386,46.57332229614258,1512.9607083797455,0:25:12.960708
1416000,1749901014.7786083,98.25869750976562,1525.742478132248,0:25:25.742478
1428000,1749901027.708655,106.15738677978516,1538.6725249290466,0:25:38.672525
1440000,1749901040.7818847,58.89987564086914,1551.745754480362,0:25:51.745754
1452000,1749901053.9197352,94.62133026123047,1564.883605003357,0:26:04.883605
1464000,1749901067.0292525,70.07763671875,1577.9931223392487,0:26:17.993122
1476000,1749901079.8359532,43.3477668762207,1590.7998230457306,0:26:30.799823
1488000,1749901092.6494162,57.19043731689453,1603.6132860183716,0:26:43.613286
1500000,1749901105.543908,52.41624069213867,1616.507777929306,0:26:56.507778
1512000,1749901118.5406632,62.05131912231445,1629.5045330524445,0:27:09.504533
1524000,1749901131.5112908,67.15737915039062,1642.4751605987549,0:27:22.475161
1536000,1749901144.4945014,159.64816284179688,1655.4583711624146,0:27:35.458371
1548000,1749901157.4426672,61.52927780151367,1668.4065370559692,0:27:48.406537
1560000,1749901170.3107514,41.65324783325195,1681.2746212482452,0:28:01.274621
1572000,1749901183.1349878,74.20172119140625,1694.09885764122,0:28:14.098858
1584000,1749901195.694443,67.77776336669922,1706.6583127975464,0:28:26.658313
1596000,1749901208.670585,35.117279052734375,1719.6344547271729,0:28:39.634455
1608000,1749901221.6695814,54.447147369384766,1732.6334512233734,0:28:52.633451
1620000,1749901234.84784,55.96103286743164,1745.8117098808289,0:29:05.811710
1632000,1749901248.11519,51.10235595703125,1759.0790598392487,0:29:19.079060
1644000,1749901261.0804706,37.4271354675293,1772.0443403720856,0:29:32.044340
1656000,1749901273.990782,56.424713134765625,1784.9546518325806,0:29:44.954652
1668000,1749901286.800955,77.78718566894531,1797.7648248672485,0:29:57.764825
1680000,1749901299.7948809,68.337646484375,1810.7587506771088,0:30:10.758751
1692000,1749901312.6781094,28.140819549560547,1823.6419792175293,0:30:23.641979
1704000,1749901325.5715394,44.72102355957031,1836.5354092121124,0:30:36.535409
1716000,1749901338.5775673,63.84311294555664,1849.5414371490479,0:30:49.541437
1728000,1749901351.478571,20.230113983154297,1862.4424407482147,0:31:02.442441
1740000,1749901364.325349,30.47498321533203,1875.289218902588,0:31:15.289219
1752000,1749901377.2407317,51.90553665161133,1888.2046015262604,0:31:28.204602
1764000,1749901389.8380508,23.404361724853516,1900.8019206523895,0:31:40.801921
1776000,1749901402.7854533,25.79607391357422,1913.749323129654,0:31:53.749323
1788000,1749901415.759836,43.81171417236328,1926.7237057685852,0:32:06.723706
1800000,1749901428.8784573,25.557924270629883,1939.84232711792,0:32:19.842327
1812000,1749901442.0664015,33.02006149291992,1953.0302712917328,0:32:33.030271
1824000,1749901455.1921737,37.388004302978516,1966.1560435295105,0:32:46.156044
1836000,1749901468.2331645,14.459078788757324,1979.1970343589783,0:32:59.197034
1848000,1749901481.085174,20.1616153717041,1992.049043893814,0:33:12.049044
1860000,1749901493.9667854,32.44585037231445,2004.9306552410126,0:33:24.930655
1872000,1749901506.7553527,29.079851150512695,2017.7192225456238,0:33:37.719223
1884000,1749901519.6601944,33.69217300415039,2030.624064207077,0:33:50.624064
